Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Perú,PER,"Desempleo, total (% de participación total en la fuerza laboral) (estimación nacional)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,5.900000095,4.840000153,4.570000172,4.400000095,4.230000019,4,4.920000076,5.199999809,5.820000172,6.5,7.119999886,6.96999979,6.769999981,6.980000019,9.199999809,10.5,11.78999996,,3.630000114,,7.920000076,8.600000381,5.800000191,9.399999619,,,,7.070000172,7.690000057,7.75,7.989999771,,7.880000114,,,,,,,,,,,,,,,,,
Perú,PER,"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.721000195,6.117000103,5.309999943,4.767000198,5.039999962,5.742000103,5.204999924,6.190000057,5.934000015,5.69299984,6.058000088,5.703999996,4.900000095,4.524000168,4.850999832,3.855000019,3.881000042,3.654000044,3.858999968,3.197999954,3.289000034,2.779000044,2.983999968,2.868999958,3.032000065,3.497999907,3.47300005,3.509000063
Perú,PER,"Desempleo, varones (% de participación masculina en la fuerza laboral) (estimación nacional)",SL.UEM.TOTL.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.940000057,,6.050000191,6.5,4.809999943,7.5,,,,6.380000114,6.800000191,6.550000191,7.489999771,,7.159999847,,,,,,,,,,,,,,,,,
Perú,PER,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.027999878,6.324999809,5.660999775,5.197999954,5.380000114,5.903999805,5.441999912,6.269000053,6.098999977,5.852000237,6.105000019,5.925000191,4.650000095,5.374000072,4.870999813,4.756000042,4.563000202,4.546999931,3.948999882,3.809999943,3.618999958,3.502000093,3.54399991,3.069000006,2.961999893,3.568000078,3.73300004,3.792000055
Perú,PER,"Desempleo, mujeres (% de participación femenina en la fuerza laboral) (estimación nacional)",SL.UEM.TOTL.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.889999866,,,11.5,7.329999924,12.5,,,,8.069999695,8.840000153,9.279999733,8.600000381,,8.770000458,,,,,,,,,,,,,,,,,
Perú,PER,"Proporción de jóvenes sin educación, empleo ni capacitación, total (% de la población total de jóvenes)",SL.UEM.NEET.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.76160049,14.50020027,20.44029999,23.04719925,18.72509956,17.43260002,17.08169937,16.35339928,15.43610001,16.11899948,15.43350029,16.56480026,16.79030037,18.45219994,16.86899948,17.67720032,
Perú,PER,"Proporción de jóvenes sin educación, empleo ni capacitación, varones (% de la población de varones jóvenes)",SL.UEM.NEET.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08609962,10.53139973,15.90359974,18.86149979,13.64780045,12.51990032,12.38619995,12.28549957,12.20880032,12.4368,11.93369961,13.57820034,13.42409992,15.5138998,13.81449986,14.68130016,
Perú,PER,"Proporción de jóvenes sin educación, empleo ni capacitación, mujeres (% de la población de mujeres jóvenes)",SL.UEM.NEET.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.48629951,18.5788002,25.03140068,27.38299942,23.99830055,22.26499939,21.74920082,20.65640068,18.75189972,19.94890022,19.08849907,19.68120003,20.32850075,21.5114994,20.02300072,20.77169991,
Perú,PER,Personas desempleadas con educación intermedia (% del desempleo total),SL.UEM.INTM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.71,,,,,,9.5234,10.0859,10.0704,10.4779,9.3066,9.3516,9.5616,9.9851,8.8301,8.6176,7.6785,7.3142,7.0608,7.9403,8.2004,8.2755,8.0074
Perú,PER,"Personas desempleadas con educación intermedia, varones",SL.UEM.INTM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9989,9.1574,8.3525,8.7304,7.8577,7.6012,7.0335,7.5254,6.8738,6.3778,5.5642,5.9059,5.8324,6.5264,7.2533,7.1717,6.9152
Perú,PER,"Personas desempleadas con educación intermedia, mujeres",SL.UEM.INTM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5815,11.3832,12.4511,12.9541,11.3365,11.6809,13.0574,13.2514,11.4428,11.5309,10.5213,9.2076,8.7125,9.7643,9.4927,9.7423,9.4381
Perú,PER,Personas desempleadas con educación básica (% del desempleo total),SL.UEM.BASC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96,1.74,1.71,1.57,1.34,1.83,6.9392,9.0318,9.43,9.4758,7.6441,7.5929,8.5503,6.8366,7.2016,7.525,6.4933,4.2206,4.7139,4.6287,4.833,5.9238,4.7163
Perú,PER,"Personas desempleadas con educación básica, varones",SL.UEM.BASC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,1.37,1.69,1.55,1.44,5.4407,8.1571,8.4802,8.6702,7.2136,6.9135,7.5849,6.0401,6.6152,6.1044,5.9083,3.9113,4.5509,4.3862,4.5952,6.3103,3.6326
Perú,PER,"Personas desempleadas con educación básica, mujeres",SL.UEM.BASC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,2.16,1.42,1.06,2.34,8.6717,10.051,10.5507,10.3831,8.1346,8.4392,9.713,7.7751,7.8498,9.1681,7.1289,4.5584,4.8985,4.9121,5.1146,5.4966,5.8973
Perú,PER,Personas desempleadas con educación avanzada (% del desempleo total),SL.UEM.ADVN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38,7.04,7.77,8.55,7.66,7.61,6.7391,7.4695,6.8682,7.003,6.734,5.9094,5.1383,5.3597,5.3101,5.1154,4.7836,3.935,4.1965,4.6161,4.9125,4.6095,4.8082
Perú,PER,"Personas desempleadas con educación avanzada, varones",SL.UEM.ADVN.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85,6.43,6.57,6.95,6.11,6.7119,6.2215,5.7703,5.6597,4.9783,5.2161,3.6431,4.2421,4.0747,3.5401,4.0084,2.9101,3.382,3.346,4.1403,3.9152,3.9476
Perú,PER,"Personas desempleadas con educación avanzada, mujeres",SL.UEM.ADVN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67,9.58,11.14,8.63,9.56,6.7733,8.9631,8.1644,8.6533,8.7664,6.7207,6.8105,6.5884,6.6722,6.9367,5.6666,5.0617,5.0844,6.006,5.7042,5.3327,5.7147
Perú,PER,"Desempleo, total de jóvenes (% de la población activa total entre 15 y 24 años de edad) (estimación modelado OIT)",SL.UEM.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.961000443,10.53600025,9.274999619,8.406000137,8.751999855,9.822999954,8.998000145,10.49600029,10.08699989,9.845000267,10.36800003,9.170000076,9.017000198,9.208999634,9.267999649,8.213000298,8.651000023,8.354999542,7.600999832,7.367000103,7.619999886,7.289000034,6.686999798,7.612999916,6.77699995,8.697999954,8.593000412,8.619000435
Perú,PER,"Desempleo, total de jóvenes (% del total de participación en la fuerza laboral de 15 a 24 años) (estimación nacional)",SL.UEM.1524.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.989999771,,,13.31000042,13.05000019,13.72000027,12.64000034,13.64000034,13.23999977,,,,,,,,,,,,,,,,,
Perú,PER,"Desempleo, varones jóvenes (% de la población activa masculina entre 15 y 24 años de edad) (estimación modelado OIT)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.60999966,11.24400043,9.845000267,8.883999825,9.272999763,10.45899963,9.548999786,11.22799969,10.80099964,10.48600006,11.08899975,9.468999863,9.944000244,8.812999725,9.373000145,7.519999981,8.723999977,7.847000122,7.96999979,7.400000095,7.764999866,6.414999962,6.688000202,7.492000103,7.145999908,8.652999878,8.81000042,8.819999695
Perú,PER,"Desempleo, varones jóvenes (% de participación en la fuerza laboral de varones de 15 a 24 años) (estimación nacional)",SL.UEM.1524.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56000042,,,12.39000034,12.56999969,12.18000031,13.07999992,13.67000008,12.61999989,,,,,,,,,,,,,,,,,
Perú,PER,"Desempleo, mujeres jóvenes (% de la población activa femenina entre 15 y 24 años de edad) (estimación modelado OIT)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.085000038,9.571000099,8.494000435,7.747000217,8.050000191,8.968999863,8.265000343,9.559000015,9.232000351,8.989999771,9.451999664,8.793999672,7.857999802,9.699999809,9.137999535,9.06000042,8.56099987,8.963000298,7.152999878,7.328000069,7.44299984,8.343000412,6.684999943,7.760000229,6.324999809,8.753000259,8.329999924,8.376000404
Perú,PER,"Desempleo, mujeres jóvenes (% de participación en la fuerza laboral de mujeres de 15 a 24 años) (estimación nacional)",SL.UEM.1524.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.82999992,,,14.55000019,13.60999966,15.47000027,12.15999985,13.60999966,13.94999981,,,,,,,,,,,,,,,,,
Perú,PER,"Población activa, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7838722,8075913,8467136,8867216,9269529,9784328,10284276,10789427,11145342,11557191,11502890,12289391,12771228,13258254,13752567,14253792,14750542,15255493,15572305,15958608,16407919,16605508,16877968,17052108,17169769,17209815,17532996,17902590,18274293
Perú,PER,"Población activa, mujeres (% de la población activa total)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.31104382,37.48514874,37.64079141,37.84020825,38.0759907,39.54628259,40.55954935,41.56586814,41.36087524,42.34036627,41.04609363,42.97754055,43.4156136,43.834965,44.23779212,44.62394288,44.98737741,45.33794483,45.45655251,45.46813857,46.02856096,45.82693887,45.77149335,45.74861947,45.55447426,45.16638906,45.33376384,45.42174065,45.50806972
Perú,PER,"Empleo de tiempo parcial, total (% del total de empleo)",SL.TLF.PART.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.13999939,27.70999908,25.88999939,25.82999992,25.06999969,25,25.12999916,25.56999969,23.94000053,22.20999908,22.38999939,21.93000031,22.06999969,20.70999908,21.79999924,22.53000069,
Perú,PER,"Empleo de tiempo parcial, hombres (% del total de hombres empleados)",SL.TLF.PART.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21.87999916,19.87000084,20.04000092,18.79999924,18.26000023,18.98999977,18.86000061,17.30999947,15.14999962,15.18000031,14.93999958,15.28999996,14.73999977,14.65999985,16,
Perú,PER,"Tasa de alfabetización, total de jóvenes (% de personas entre 15 y 24 años)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,93.1198,,,,,,,,,,,,95.36663,,,,,,,,,,,96.75563,97.12376,97.75713,97.35622,,,,,98.69816,,98.97753,99.00954,98.88349,,
Perú,PER,"Tasa de alfabetización, varones jóvenes (% de varones entre 15 y 24 años)",SE.ADT.1524.LT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,96.51333,,,,,,,,,,,,96.98548,,,,,,,,,,,97.80303,97.92135,98.51275,98.01326,,,,,98.71934,,99.15706,99.23967,99.08887,,
Perú,PER,Proporción de mujeres con respecto a varones de jóvenes alfabetizados (% de jóvenes entre 15 y 24 años de edad),SE.ADT.1524.LT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,0.93007,,,,,,,,,,,,0.96701,,,,,,,,,,,0.97805,0.98332,0.98421,0.98665,,,,,0.99956,,0.99629,0.9953,0.9958,,
Perú,PER,"Tasa de alfabetización, mujeres jóvenes (% de mujeres entre 15 y 24 años)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,89.76372,,,,,,,,,,,,93.78625,,,,,,,,,,,95.65602,96.28778,96.95764,96.70523,,,,,98.67575,,98.78966,98.7729,98.6722,,
Perú,PER,Índice de tasa de cambio real efectiva (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perú,PER,Cobertura de los programas de seguro social en el quintil más rico (% de la población),per_si_allsi.cov_q5_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.77986109,23.90374006,25.47781143,25.43183808,25.81223017,25.74747364,27.46575206,,,,
Perú,PER,Cobertura de los programas de seguro social en el cuarto quintil (% de la población),per_si_allsi.cov_q4_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2851848,13.96836769,15.75093855,15.27127338,18.19603863,16.34117219,15.65089396,,,,
Perú,PER,Cobertura de los programas de seguro social en el tercer quintil (% de la población),per_si_allsi.cov_q3_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.843395677,7.296670253,9.305987361,9.312978874,10.24249801,9.749587344,9.236443246,,,,
Perú,PER,Cobertura de los programas de seguro social en el segundo quintil (% de la población),per_si_allsi.cov_q2_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.200931064,2.985495755,5.311047675,4.542858533,5.345035923,4.785177913,4.048433385,,,,
Perú,PER,Cobertura de los programas de seguro social en el quintil más pobre (% de la población),per_si_allsi.cov_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261316271,0.444600559,0.752585994,0.884698225,1.526789361,0.838612823,1.174115893,,,,
Perú,PER,Cobertura de los programas de seguro social (% de la población),per_si_allsi.cov_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.47536594,9.720193986,11.31996036,11.08952525,12.22506487,11.49308319,11.51586485,,,,
Perú,PER,Incidencia de los beneficios de los programas de seguro social para el quintil más pobre (% del total de beneficios del seguro social),per_si_allsi.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115752549,0.22701759,0.400434604,0.447153736,0.865220467,0.425265009,0.608137991,,,,
Perú,PER,Idoneidad de los programas de seguro social (% del bienestar total de los hogares beneficiarios),per_si_allsi.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.51996445,24.44969712,23.85763328,22.01442947,20.80610208,20.04292267,19.90839192,,,,
Perú,PER,Cobertura de los programas de medidas de protección social en el quintil más rico (% de la población),per_sa_allsa.cov_q5_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.660262829,18.32868733,24.36393498,21.59447286,80.64795108,16.69214294,14.82011246,,,,
Perú,PER,Cobertura de los programas de medidas de protección social en el cuarto quintil (% de la población),per_sa_allsa.cov_q4_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.34649108,45.40575966,48.63501907,45.15383299,85.61009533,38.74959368,41.54911786,,,,
Perú,PER,Cobertura de los programas de medidas de protección social en el tercer quintil (% de la población),per_sa_allsa.cov_q3_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.61229403,61.94177546,66.72950738,62.02963579,88.16605282,57.31804498,59.75713206,,,,
Perú,PER,Cobertura de los programas de medidas de protección social en el segundo quintil (% de la población),per_sa_allsa.cov_q2_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.09421582,74.57314765,78.32177946,77.2285304,88.77442381,73.1771054,76.35768094,,,,
Perú,PER,Cobertura de los programas de medidas de protección social en el quintil más pobre (% de la población),per_sa_allsa.cov_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.02480452,84.58578558,85.76810569,85.81710129,90.02257992,85.7483575,88.01549638,,,,
Perú,PER,Cobertura de los programas de medidas de protección social (% de la población),per_sa_allsa.cov_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.54482206,56.96581609,60.76289157,58.362387,86.64396777,54.33507525,56.09761515,,,,
Perú,PER,Incidencia de los beneficios de los programas de medidas de protección social para el quintil más pobre (% del total de beneficios de las medidas de protección),per_sa_allsa.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.70429925,56.4214949,58.00889075,67.02764916,67.9844178,62.29103313,60.73658677,,,,
Perú,PER,Idoneidad de los programas de medidas de protección social (% del bienestar total de los hogares beneficiarios),per_sa_allsa.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.81119854,11.0293641,10.10820707,10.4626311,9.802257776,8.539084229,7.989973781,,,,
Perú,PER,Cobertura de los beneficios por desempleo y los ALMP en el quintil más rico (% de la población),per_lm_alllm.cov_q5_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103170511,,,,,
Perú,PER,Cobertura de los beneficios por desempleo y los ALMP en el cuarto quintil (% de la población),per_lm_alllm.cov_q4_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246878414,,,,,
Perú,PER,Cobertura de los beneficios por desempleo y los ALMP en el tercer quintil (% de la población),per_lm_alllm.cov_q3_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.946565766,,,,,
Perú,PER,Cobertura de los beneficios por desempleo y los ALMP en el segundo quintil (% de la población),per_lm_alllm.cov_q2_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.946064445,,,,,
Perú,PER,Cobertura de los beneficios por desempleo y los ALMP en el quintil más pobre (% de la población),per_lm_alllm.cov_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.307268726,,,,,
Perú,PER,Cobertura de los beneficios por desempleo y los ALMP (% de la población),per_lm_alllm.cov_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.709955915,,,,,
Perú,PER,Incidencia de los beneficios de los programas activos del mercado laboral (ALMP) y los beneficios por desempleo para el quintil más pobre (% del total de beneficios de los ALMP/D),per_lm_alllm.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perú,PER,Idoneidad de los beneficios por desempleo y programas activos del mercado laboral (ALMP) (% del bienestar total de los hogares beneficiarios),per_lm_alllm.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perú,PER,Cobertura de los programas de trabajo y protección social (% de la población),per_allsp.cov_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.40147346,64.11262007,68.36334906,66.12011772,89.5209964,63.0238949,64.854444,,,,
Perú,PER,Incidencia de los beneficios de los programas de trabajo y protección social (SPL) para el quintil más pobre (% del total de beneficios de los SPL),per_allsp.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44129218,4.348426155,3.916681785,4.447145481,4.651831785,4.987544958,5.350723745,,,,
Perú,PER,Idoneidad de los programas de trabajo y protección social (% del bienestar total de los hogares beneficiarios),per_allsp.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.25830507,22.4723632,22.05567494,20.65081799,19.57325171,18.2646662,17.83276028,,,,
Perú,PER,Índice de desempeño logístico: facilidad para coordinar embarques a precios competitivos (1= baja a 5= alta),LP.LPI.ITRN.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91304,,,2.746719,,2.870563,,2.9375,,2.912407,,2.843858
Perú,PER,Índice de desempeño logístico: calidad de la infraestructura relacionada con el comercio y el transporte (1= baja a 5= alta),LP.LPI.INFR.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57143,,,2.659867,,2.729456,,2.720363,,2.623704,,2.281358
